"","latitude","longitude","sitename","individual_id","population_id","genotype_id","Predicted","Actual","Outcome"
"117",28.08852,-97.06011,"Texas","ANN1353","ANN_56","ANN1353","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"118",28.08852,-97.06011,"Texas","ANN1358","ANN_56","ANN1358","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"119",28.08852,-97.06011,"Texas","ANN1359","ANN_56","ANN1359","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"120",28.08852,-97.06011,"Texas","ANN1360","ANN_56","ANN1360","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"121",27.63854,-97.24526,"Texas","ANN1363","ANN_57","ANN1363","NORTH AMERICAN DESERTS","GREAT PLAINS","Incorrectly_Predicted"
"122",27.63854,-97.24526,"Texas","ANN1364","ANN_57","ANN1364","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"123",27.63854,-97.24526,"Texas","ANN1366","ANN_57","ANN1366","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"124",27.63854,-97.24526,"Texas","ANN1367","ANN_57","ANN1367","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"125",28.24166,-97.67443,"Texas","ANN1372","ANN_58","ANN1372","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"126",28.24166,-97.67443,"Texas","ANN1373","ANN_58","ANN1373","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"127",28.24166,-97.67443,"Texas","ANN1374","ANN_58","ANN1374","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"128",28.24166,-97.67443,"Texas","ANN1378","ANN_58","ANN1378","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"129",26.50251,-97.77181,"Texas","ANN1381","ANN_59","ANN1381","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"130",26.50251,-97.77181,"Texas","ANN1384","ANN_59","ANN1384","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"131",26.50251,-97.77181,"Texas","ANN1387","ANN_59","ANN1387","NORTH AMERICAN DESERTS","GREAT PLAINS","Incorrectly_Predicted"
"132",26.50251,-97.77181,"Texas","ANN1389","ANN_59","ANN1389","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"133",27.28522,-97.66729,"Texas","ANN1394","ANN_60","ANN1394","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"134",27.28522,-97.66729,"Texas","ANN1396","ANN_60","ANN1396","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"135",27.77652,-97.66801,"Texas","ANN1401","ANN_61","ANN1401","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"136",27.77652,-97.66801,"Texas","ANN1402","ANN_61","ANN1402","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"137",27.77652,-97.66801,"Texas","ANN1404","ANN_61","ANN1404","NORTH AMERICAN DESERTS","GREAT PLAINS","Incorrectly_Predicted"
"138",27.77652,-97.66801,"Texas","ANN1405","ANN_61","ANN1405","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"139",39.68894,-99.06605,"Kansas","ANN1439","ANN_64","ANN1439","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
